Measurement : PES-PEG400
Device : OCA35XL
Customer : OCA35XL
Sample : PES-PEG400
Operator : schubotz
Remarks : OCA35XL

Run-No	Age[ms]	CA(M)[°]	CA(L)[°]	CA(R)[°]	CM	BD[mm]	Vol[µL]	Mag[pixel/mm]	BI left[mm]	BI right[mm]	Height[mm]
1	37317,16	69,94	69,94	NA	T	0,00	NA	48,85	0,00	0,00	0,00
2	37636,12	69,32	69,32	NA	T	0,00	NA	48,83	0,00	0,00	0,00
3	37956,02	69,29	69,29	NA	T	0,00	NA	48,85	0,00	0,00	0,00
4	38274,98	68,69	69,57	67,80	T	2,09	NA	48,85	5,92	8,00	0,00
5	38593,95	68,32	69,72	66,91	T	2,09	NA	48,84	5,92	8,01	0,00
6	38912,90	68,89	69,81	67,96	T	2,11	NA	48,85	5,92	8,02	0,00
7	39231,86	68,76	69,71	67,81	T	2,13	NA	48,84	5,92	8,05	0,00
8	39550,82	69,08	69,96	68,21	T	2,15	NA	48,85	5,90	8,04	0,00
9	39870,79	69,15	70,42	67,89	T	2,17	NA	48,85	5,90	8,07	0,00
10	40189,75	69,31	70,48	68,13	T	2,17	NA	48,87	5,89	8,06	0,00
11	40508,72	68,98	70,72	67,24	T	2,19	NA	48,88	5,89	8,08	0,00
12	40827,69	69,23	71,23	67,22	T	2,19	NA	48,86	5,89	8,08	0,00
13	41146,66	69,18	71,22	67,15	T	2,21	NA	48,85	5,90	8,11	0,00
14	41465,63	69,74	71,87	67,61	T	2,21	NA	48,85	5,89	8,11	0,00
15	41785,64	69,21	71,78	66,64	T	2,23	NA	48,85	5,90	8,13	0,00
16	42104,62	69,53	72,36	66,71	T	2,23	NA	48,86	5,89	8,13	0,00
17	42423,60	69,41	72,14	66,69	T	2,25	NA	48,86	5,89	8,15	0,00
18	42742,57	69,66	72,61	66,70	T	2,25	NA	48,86	5,89	8,15	0,00
19	43061,55	69,46	72,66	66,26	T	2,25	NA	48,85	5,89	8,15	0,00
20	43380,52	69,58	72,96	66,21	T	2,27	NA	48,86	5,89	8,17	0,00
21	43700,60	69,74	73,30	66,18	T	2,29	NA	48,86	5,87	8,17	0,00
22	44019,58	69,73	73,53	65,92	T	2,31	NA	48,87	5,87	8,18	0,00
23	44338,57	69,88	73,21	66,56	T	2,31	NA	48,86	5,87	8,19	0,00
24	44657,55	69,81	73,45	66,16	T	2,31	NA	48,87	5,87	8,19	0,00
25	44976,54	69,64	73,02	66,25	T	2,33	NA	48,85	5,88	8,21	0,00
26	45295,52	69,57	72,96	66,19	T	2,33	NA	48,86	5,87	8,21	0,00
27	45614,50	69,43	72,70	66,15	T	2,37	NA	48,85	5,85	8,23	0,00
28	45934,64	69,56	72,50	66,61	T	2,37	NA	48,86	5,85	8,23	0,00
29	46253,63	69,36	72,62	66,11	T	2,37	NA	48,86	5,85	8,23	0,00
30	46572,63	69,19	72,43	65,95	T	2,39	NA	48,86	5,85	8,25	0,00
31	46891,62	69,22	72,54	65,90	T	2,39	NA	48,86	5,85	8,25	0,00
32	47210,61	69,30	72,68	65,92	T	2,41	NA	48,87	5,83	8,25	0,00
33	47529,60	69,37	72,90	65,84	T	2,44	NA	48,86	5,83	8,27	0,00
34	47849,79	69,13	72,29	65,96	T	2,43	NA	48,88	5,83	8,27	0,00
35	48168,79	69,07	72,43	65,71	T	2,44	NA	48,86	5,83	8,27	0,00
36	48487,79	69,28	72,62	65,95	T	2,48	NA	48,87	5,81	8,29	0,00
37	48806,79	69,53	72,80	66,25	T	2,48	NA	48,87	5,81	8,29	0,00
38	49125,79	68,95	71,91	65,99	T	2,48	NA	48,86	5,81	8,29	0,00
39	49444,79	68,79	71,70	65,89	T	2,50	NA	48,86	5,81	8,31	0,00
40	49765,04	68,69	71,52	65,87	T	2,50	NA	48,88	5,81	8,31	0,00
41	50084,05	68,49	71,46	65,53	T	2,52	NA	48,86	5,79	8,31	0,00
42	50403,06	68,66	71,55	65,77	T	2,54	NA	48,86	5,79	8,33	0,00
43	50722,07	68,78	71,71	65,85	T	2,54	NA	48,87	5,79	8,33	0,00
44	51041,07	68,46	71,07	65,84	T	2,54	NA	48,87	5,79	8,33	0,00
45	51360,09	68,26	70,80	65,72	T	2,56	NA	48,85	5,79	8,35	0,00
46	51680,39	67,92	70,50	65,34	T	2,56	NA	48,87	5,79	8,35	0,00
47	51999,41	67,49	70,20	64,77	T	2,56	NA	48,87	5,79	8,35	0,00
48	52318,42	67,23	69,68	64,77	T	2,56	NA	48,86	5,79	8,35	0,00
49	52637,44	67,01	69,42	64,61	T	2,56	NA	48,86	5,79	8,35	0,00
50	52956,45	66,74	69,33	64,15	T	2,60	NA	48,87	5,77	8,37	0,00
51	53275,47	66,26	68,95	63,56	T	2,60	NA	48,85	5,77	8,37	0,00
52	53594,48	66,37	68,99	63,74	T	2,60	NA	48,87	5,77	8,37	0,00
53	53913,50	66,26	68,79	63,74	T	2,60	NA	48,87	5,77	8,37	0,00
54	54232,52	65,90	68,38	63,42	T	2,60	NA	48,86	5,77	8,37	0,00
55	54551,54	65,86	68,52	63,20	T	2,60	NA	48,87	5,77	8,37	0,00
56	54870,55	65,81	68,34	63,28	T	2,60	NA	48,86	5,77	8,37	0,00
57	55189,57	65,59	68,28	62,90	T	2,60	NA	48,85	5,77	8,37	0,00
58	55508,58	65,45	67,89	63,00	T	2,60	NA	48,86	5,77	8,37	0,00
59	55829,00	65,39	67,99	62,80	T	2,62	NA	48,85	5,77	8,39	0,00
60	56148,02	65,08	67,48	62,68	T	2,62	NA	48,85	5,77	8,39	0,00
61	56467,05	65,08	67,62	62,54	T	2,62	NA	48,85	5,77	8,39	0,00
62	56786,07	64,93	67,58	62,28	T	2,62	NA	48,84	5,77	8,39	0,00
63	57105,10	64,97	67,77	62,18	T	2,62	NA	48,84	5,77	8,39	0,00
64	57424,12	64,70	67,27	62,12	T	2,62	NA	48,84	5,77	8,40	0,00
65	57743,14	64,80	67,50	62,11	T	2,62	NA	48,86	5,77	8,39	0,00
66	58062,17	64,77	67,52	62,02	T	2,62	NA	48,86	5,77	8,39	0,00
67	58381,19	64,47	67,02	61,92	T	2,62	NA	48,86	5,77	8,39	0,00
68	58700,21	64,48	67,12	61,84	T	2,62	NA	48,86	5,77	8,39	0,00
69	59019,24	64,26	66,82	61,71	T	2,62	NA	48,85	5,77	8,39	0,00
70	59338,27	64,49	67,17	61,81	T	2,62	NA	48,85	5,77	8,39	0,00
71	59658,79	64,39	66,97	61,81	T	2,62	NA	48,85	5,77	8,39	0,00
72	59977,82	64,29	66,86	61,72	T	2,62	NA	48,84	5,77	8,39	0,00
73	60296,85	64,17	66,52	61,82	T	2,62	NA	48,85	5,77	8,39	0,00
74	60615,88	64,05	66,83	61,27	T	2,62	NA	48,85	5,77	8,39	0,00
75	60934,91	64,08	66,80	61,36	T	2,62	NA	48,85	5,77	8,39	0,00
76	61253,95	63,85	66,56	61,15	T	2,62	NA	48,86	5,77	8,39	0,00
77	61572,98	63,89	66,56	61,23	T	2,62	NA	48,84	5,77	8,39	0,00
78	61892,01	63,41	66,09	60,74	T	2,62	NA	48,85	5,77	8,39	0,00
79	62211,04	63,70	66,24	61,15	T	2,62	NA	48,86	5,77	8,39	0,00
80	62530,07	63,68	66,36	61,00	T	2,62	NA	48,86	5,77	8,39	0,00
81	62849,11	63,61	66,10	61,12	T	2,62	NA	48,86	5,77	8,39	0,00
82	63168,14	63,52	66,16	60,88	T	2,64	NA	48,84	5,77	8,42	0,00
83	63487,17	63,41	66,13	60,69	T	2,64	NA	48,85	5,77	8,41	0,00
84	63807,80	63,61	66,23	60,98	T	2,64	NA	48,84	5,77	8,42	0,00
85	64126,84	63,30	65,94	60,66	T	2,64	NA	48,84	5,77	8,42	0,00
86	64445,88	63,46	66,24	60,67	T	2,64	NA	48,85	5,77	8,41	0,00
87	64764,93	62,98	65,73	60,22	T	2,64	NA	48,86	5,77	8,41	0,00
88	65083,96	63,11	65,84	60,38	T	2,64	NA	48,81	5,78	8,42	0,00
89	65403,00	63,05	65,77	60,33	T	2,66	NA	48,83	5,75	8,42	0,00
90	65722,05	63,23	65,82	60,63	T	2,66	NA	48,84	5,75	8,42	0,00
91	66041,09	63,03	65,74	60,32	T	2,66	NA	48,85	5,75	8,41	0,00
92	66360,13	62,90	65,50	60,30	T	2,66	NA	48,84	5,75	8,42	0,00
93	66679,16	62,83	65,42	60,24	T	2,66	NA	48,84	5,75	8,42	0,00
94	66998,20	62,71	65,06	60,36	T	2,66	NA	48,83	5,75	8,42	0,00
95	67317,24	62,67	65,25	60,09	T	2,66	NA	48,85	5,75	8,41	0,00
96	67636,28	62,79	65,44	60,13	T	2,66	NA	48,84	5,75	8,41	0,00
97	67955,32	62,55	65,15	59,95	T	2,66	NA	48,85	5,75	8,41	0,00
98	68274,37	62,46	65,05	59,87	T	2,66	NA	48,85	5,75	8,41	0,00
99	68593,41	62,23	64,85	59,61	T	2,66	NA	48,84	5,75	8,41	0,00
100	68912,45	61,95	64,64	59,27	T	2,66	NA	48,84	5,75	8,41	0,00
101	69231,48	61,71	64,26	59,16	T	2,66	NA	48,85	5,75	8,41	0,00
102	69550,52	61,13	63,53	58,72	T	2,66	NA	48,85	5,75	8,41	0,00
103	69871,32	60,71	63,23	58,20	T	2,66	NA	48,84	5,75	8,41	0,00
104	70190,37	60,23	62,60	57,86	T	2,66	NA	48,84	5,75	8,42	0,00
105	70509,41	59,74	62,24	57,23	T	2,66	NA	48,84	5,75	8,41	0,00
106	70828,46	59,00	61,47	56,54	T	2,66	NA	48,85	5,75	8,41	0,00
107	71147,51	58,40	60,85	55,95	T	2,66	NA	48,84	5,75	8,42	0,00
108	71466,55	57,64	60,04	55,24	T	2,66	NA	48,84	5,75	8,42	0,00
109	71785,61	57,18	59,42	54,94	T	2,66	NA	48,84	5,75	8,42	0,00
110	72104,66	56,60	59,07	54,13	T	2,66	NA	48,84	5,75	8,42	0,00
111	72423,70	56,03	58,45	53,61	T	2,66	NA	48,84	5,75	8,42	0,00
112	72742,75	55,37	57,62	53,13	T	2,66	NA	48,83	5,75	8,42	0,00
113	73061,80	54,53	56,70	52,35	T	2,66	NA	48,85	5,75	8,41	0,00
114	73380,84	53,77	56,10	51,44	T	2,66	NA	48,83	5,75	8,42	0,00
115	73699,89	53,26	55,52	51,00	T	2,66	NA	48,85	5,75	8,41	0,00
116	74018,95	52,87	54,97	50,77	T	2,66	NA	48,85	5,75	8,41	0,00
117	74337,99	52,24	54,41	50,07	T	2,66	NA	48,83	5,75	8,42	0,00
118	74657,04	50,25	53,87	46,62	T	2,68	NA	48,83	5,75	8,44	0,00
119	74976,09	49,35	52,81	45,88	T	2,68	NA	48,85	5,75	8,43	0,00
120	75295,13	48,48	52,13	44,83	T	2,68	NA	48,83	5,75	8,44	0,00
121	75614,18	47,38	51,53	43,22	T	2,62	NA	48,83	5,75	8,38	0,00
122	75933,23	47,23	50,73	43,73	T	2,68	NA	48,83	5,75	8,44	0,00
123	76252,28	44,73	46,49	42,97	T	2,70	NA	48,84	5,73	8,44	0,00
124	76571,33	44,15	45,67	42,64	T	2,70	NA	48,83	5,73	8,44	0,00
125	76890,38	43,61	45,31	41,91	T	2,70	NA	48,83	5,73	8,44	0,00
126	77209,42	42,95	44,69	41,21	T	2,70	NA	48,83	5,73	8,44	0,00
127	77528,47	42,29	43,85	40,72	T	2,70	NA	48,84	5,73	8,44	0,00
128	77849,47	41,43	43,26	39,61	T	2,70	NA	48,84	5,73	8,44	0,00
129	78168,53	40,75	42,09	39,40	T	2,70	NA	48,84	5,73	8,44	0,00
130	78487,59	39,86	41,85	37,88	T	2,62	NA	48,84	5,73	8,35	0,00
131	78806,64	39,59	41,42	37,77	T	2,70	NA	48,83	5,73	8,44	0,00
132	79125,70	38,34	40,19	36,49	T	2,62	NA	48,83	5,73	8,36	0,00
133	79444,75	37,91	39,76	36,06	T	2,62	NA	48,85	5,73	8,35	0,00
134	79763,80	37,02	38,69	35,35	T	2,62	NA	48,83	5,73	8,35	0,00
135	80082,87	36,51	38,29	34,74	T	2,62	NA	48,84	5,73	8,35	0,00
136	80401,92	35,44	36,70	34,18	T	2,54	NA	48,82	5,82	8,36	0,00
137	80720,98	34,68	36,09	33,27	T	2,54	NA	48,83	5,82	8,36	0,00
138	81040,03	34,08	35,50	32,66	T	2,54	NA	48,83	5,82	8,36	0,00
139	81359,09	33,37	34,90	31,84	T	2,54	NA	48,84	5,82	8,35	0,00
140	81678,14	32,68	33,89	31,48	T	2,54	NA	48,83	5,82	8,35	0,00
141	81997,20	31,99	33,33	30,64	T	2,54	NA	48,84	5,82	8,35	0,00
142	82316,26	31,71	32,97	30,45	T	2,54	NA	48,84	5,81	8,35	0,00
143	82635,31	30,84	32,24	29,44	T	2,54	NA	48,85	5,81	8,35	0,00
144	82954,37	30,54	31,68	29,40	T	2,54	NA	48,83	5,82	8,36	0,00
145	83273,42	29,97	31,01	28,92	T	2,52	NA	48,85	5,81	8,33	0,00
146	83592,48	29,43	30,46	28,40	T	2,52	NA	48,85	5,81	8,33	0,00
147	83911,54	28,84	30,16	27,53	T	2,52	NA	48,84	5,82	8,33	0,00
148	84230,59	28,35	29,31	27,39	T	2,50	NA	48,83	5,82	8,31	0,00
149	84549,65	27,74	28,69	26,80	T	2,50	NA	48,84	5,82	8,31	0,00
150	84868,70	27,23	27,63	26,84	T	2,48	NA	48,85	5,81	8,29	0,00
151	85187,76	27,30	27,98	26,63	T	2,46	NA	48,84	5,84	8,29	0,00
152	85506,81	27,51	28,05	26,97	T	2,44	NA	48,83	5,84	8,27	0,00
153	85828,02	27,05	27,24	26,86	T	2,42	NA	48,84	5,84	8,25	0,00
154	86147,09	26,88	27,11	26,65	T	2,39	NA	48,85	5,83	8,23	0,00
155	86466,16	26,22	26,80	25,64	T	2,40	NA	48,83	5,84	8,23	0,00
156	86785,22	26,24	26,49	25,99	T	2,35	NA	48,85	5,86	8,21	0,00
157	87104,28	26,32	26,03	26,62	T	2,33	NA	48,86	5,85	8,19	0,00
158	87423,34	26,44	26,30	26,58	T	2,31	NA	48,82	5,86	8,17	0,00
159	87742,41	26,51	26,22	26,80	T	2,29	NA	48,83	5,86	8,15	0,00
160	88061,48	25,88	25,93	25,84	T	2,27	NA	48,84	5,88	8,15	0,00
161	88380,54	26,03	25,68	26,38	T	2,25	NA	48,84	5,88	8,13	0,00
162	88699,60	25,77	24,73	26,81	T	2,23	NA	48,84	5,88	8,11	0,00
163	89018,66	25,36	24,10	26,63	T	2,21	NA	48,83	5,88	8,09	0,00
164	89337,73	25,08	24,17	25,98	T	2,17	NA	48,84	5,90	8,07	0,00
165	89656,80	24,58	24,03	25,13	T	2,15	NA	48,84	5,92	8,07	0,00
166	89975,86	24,25	23,23	25,26	T	2,11	NA	48,85	5,92	8,03	0,00
167	90294,92	23,90	23,07	24,73	T	2,09	NA	48,84	5,94	8,03	0,00
168	90613,98	22,01	22,01	NA	T	0,00	NA	48,85	0,00	0,00	0,00
169	90933,05	22,06	22,06	NA	T	0,00	NA	48,86	0,00	0,00	0,00
170	91252,12	22,42	22,42	NA	T	0,00	NA	48,85	0,00	0,00	0,00
171	105293,57	64,51	64,51	NA	T	0,00	NA	48,85	0,00	0,00	0,00
172	105612,64	64,98	64,98	NA	T	0,00	NA	48,83	0,00	0,00	0,00
173	105931,72	65,10	65,10	NA	T	0,00	NA	48,83	0,00	0,00	0,00
174	106250,79	65,31	65,31	NA	T	0,00	NA	48,84	0,00	0,00	0,00
175	106569,86	65,03	65,03	NA	T	0,00	NA	48,82	0,00	0,00	0,00
176	106888,93	64,99	64,99	NA	T	0,00	NA	48,83	0,00	0,00	0,00
177	107208,01	65,04	65,04	NA	T	0,00	NA	48,84	0,00	0,00	0,00
178	107527,08	65,38	65,38	NA	T	0,00	NA	48,85	0,00	0,00	0,00
179	107846,15	65,11	65,11	NA	T	0,00	NA	48,84	0,00	0,00	0,00
180	108165,22	65,21	65,21	NA	T	0,00	NA	48,85	0,00	0,00	0,00
181	108484,29	64,97	65,30	64,64	T	2,19	NA	48,82	5,82	8,01	0,00
182	108803,37	65,18	65,21	65,16	T	2,19	NA	48,83	5,82	8,01	0,00
183	109122,44	64,88	64,54	65,22	T	2,19	NA	48,83	5,82	8,01	0,00
184	109441,51	64,87	64,95	64,80	T	2,23	NA	48,84	5,79	8,03	0,00
185	109760,58	65,62	65,18	66,07	T	2,23	NA	48,83	5,80	8,03	0,00
186	110079,65	65,26	65,04	65,48	T	2,23	NA	48,84	5,79	8,03	0,00
187	110398,73	65,22	64,65	65,78	T	2,25	NA	48,83	5,80	8,05	0,00
188	110717,80	64,99	64,43	65,54	T	2,27	NA	48,83	5,77	8,05	0,00
189	111036,87	65,34	64,53	66,14	T	2,27	NA	48,83	5,78	8,05	0,00
190	111355,94	64,97	64,52	65,42	T	2,27	NA	48,86	5,77	8,04	0,00
191	111675,02	65,37	64,97	65,78	T	2,29	NA	48,84	5,77	8,07	0,00
192	111994,09	65,36	64,88	65,85	T	2,31	NA	48,83	5,75	8,07	0,00
193	112313,16	65,50	65,45	65,55	T	2,31	NA	48,84	5,75	8,07	0,00
194	112632,23	65,59	65,88	65,31	T	2,33	NA	48,84	5,75	8,09	0,00
195	112951,30	65,93	66,25	65,61	T	2,33	NA	48,83	5,75	8,09	0,00
196	113270,38	66,12	66,86	65,39	T	2,33	NA	48,85	5,75	8,09	0,00
197	113592,30	66,09	67,21	64,98	T	2,35	NA	48,84	5,75	8,11	0,00
198	113911,38	66,69	67,67	65,71	T	2,35	NA	48,85	5,75	8,11	0,00
199	114230,45	66,78	67,97	65,59	T	2,36	NA	48,83	5,75	8,11	0,00
200	114549,53	67,06	68,23	65,89	T	2,38	NA	48,83	5,75	8,13	0,00
201	114868,62	67,36	68,82	65,90	T	2,38	NA	48,84	5,75	8,13	0,00
202	115187,70	66,96	68,98	64,94	T	2,40	NA	48,83	5,75	8,15	0,00
203	115506,77	67,31	68,91	65,71	T	2,40	NA	48,83	5,75	8,15	0,00
204	115825,85	67,59	69,30	65,88	T	2,40	NA	48,85	5,75	8,15	0,00
205	116144,94	67,28	69,35	65,20	T	2,42	NA	48,82	5,76	8,17	0,00
206	116464,02	67,35	69,23	65,47	T	2,42	NA	48,83	5,75	8,17	0,00
207	116783,09	67,33	69,23	65,43	T	2,42	NA	48,84	5,75	8,17	0,00
208	117102,17	67,36	69,37	65,35	T	2,44	NA	48,85	5,75	8,19	0,00
209	117421,26	67,46	69,66	65,26	T	2,44	NA	48,84	5,75	8,19	0,00
210	117740,34	67,72	69,72	65,71	T	2,46	NA	48,85	5,75	8,21	0,00
211	118059,41	67,94	70,10	65,79	T	2,46	NA	48,85	5,75	8,21	0,00
212	118378,49	67,76	69,77	65,75	T	2,48	NA	48,84	5,73	8,21	0,00
213	118697,57	67,82	69,98	65,66	T	2,50	NA	48,85	5,73	8,23	0,00
214	119016,66	68,03	70,05	66,00	T	2,50	NA	48,85	5,73	8,23	0,00
215	119335,73	67,75	69,92	65,58	T	2,50	NA	48,85	5,73	8,23	0,00
216	119654,81	67,86	69,86	65,85	T	2,52	NA	48,85	5,73	8,25	0,00
217	119973,89	67,84	69,73	65,96	T	2,52	NA	48,85	5,73	8,25	0,00
218	120292,98	68,00	70,26	65,74	T	2,54	NA	48,84	5,73	8,27	0,00
219	120612,05	68,02	70,24	65,79	T	2,54	NA	48,85	5,73	8,27	0,00
220	120931,13	68,05	70,31	65,78	T	2,54	NA	48,86	5,73	8,27	0,00
221	121250,21	68,21	70,42	66,00	T	2,56	NA	48,85	5,73	8,29	0,00
222	121569,30	68,00	70,13	65,87	T	2,56	NA	48,84	5,73	8,29	0,00
223	121888,38	67,83	70,21	65,45	T	2,58	NA	48,86	5,73	8,31	0,00
224	122207,45	67,96	70,08	65,83	T	2,58	NA	48,86	5,73	8,31	0,00
225	122526,53	67,90	70,24	65,55	T	2,58	NA	48,87	5,73	8,31	0,00
226	122845,62	68,12	70,56	65,68	T	2,60	NA	48,87	5,73	8,33	0,00
227	123164,70	68,00	70,23	65,77	T	2,60	NA	48,86	5,73	8,33	0,00
228	123483,77	68,17	70,44	65,89	T	2,62	NA	48,84	5,73	8,35	0,00
229	123802,85	68,11	70,55	65,68	T	2,62	NA	48,86	5,73	8,35	0,00
230	124121,94	68,11	70,14	66,08	T	2,62	NA	48,86	5,73	8,35	0,00
231	124441,02	68,07	70,06	66,08	T	2,64	NA	48,85	5,73	8,37	0,00
232	124760,09	67,96	70,06	65,87	T	2,66	NA	48,85	5,71	8,37	0,00
233	125079,17	68,03	70,04	66,02	T	2,68	NA	48,85	5,71	8,39	0,00
234	125398,26	68,15	70,25	66,06	T	2,68	NA	48,85	5,71	8,39	0,00
235	125717,34	67,89	70,21	65,57	T	2,68	NA	48,86	5,71	8,39	0,00
236	126036,41	67,95	70,21	65,69	T	2,70	NA	48,84	5,71	8,41	0,00
237	126355,49	68,31	70,49	66,14	T	2,70	NA	48,85	5,71	8,41	0,00
238	126674,57	68,40	70,74	66,06	T	2,70	NA	48,86	5,71	8,41	0,00
239	126993,66	68,44	70,93	65,95	T	2,72	NA	48,85	5,71	8,43	0,00
240	127312,73	68,35	70,77	65,94	T	2,72	NA	48,86	5,71	8,43	0,00
241	127631,81	68,59	70,89	66,29	T	2,72	NA	48,84	5,71	8,44	0,00
242	127950,89	68,76	70,93	66,59	T	2,72	NA	48,85	5,71	8,43	0,00
243	128269,98	68,64	70,67	66,62	T	2,74	NA	48,87	5,71	8,45	0,00
244	128589,05	68,48	70,42	66,53	T	2,74	NA	48,84	5,71	8,46	0,00
245	128908,13	68,75	70,96	66,54	T	2,74	NA	48,86	5,71	8,45	0,00
246	129227,21	68,66	70,79	66,53	T	2,76	NA	48,84	5,71	8,48	0,00
247	129546,30	68,62	70,52	66,71	T	2,76	NA	48,86	5,71	8,47	0,00
248	129865,38	68,46	70,50	66,43	T	2,78	NA	48,86	5,69	8,47	0,00
249	130184,45	68,51	70,60	66,43	T	2,80	NA	48,85	5,69	8,50	0,00
250	130503,53	68,52	70,51	66,52	T	2,80	NA	48,84	5,69	8,50	0,00
251	130822,62	68,41	70,40	66,43	T	2,80	NA	48,85	5,69	8,49	0,00
252	131141,69	68,50	70,51	66,50	T	2,82	NA	48,87	5,69	8,51	0,00
253	131460,78	68,55	70,93	66,17	T	2,82	NA	48,86	5,69	8,51	0,00
254	131779,86	68,78	70,91	66,64	T	2,82	NA	48,86	5,69	8,51	0,00
255	132098,94	68,60	70,67	66,53	T	2,84	NA	48,87	5,69	8,53	0,00
256	132418,02	68,62	70,66	66,58	T	2,85	NA	48,85	5,69	8,54	0,00
257	132737,09	68,56	70,81	66,32	T	2,84	NA	48,86	5,69	8,53	0,00
258	133056,17	68,61	70,76	66,46	T	2,87	NA	48,85	5,69	8,56	0,00
259	133375,25	68,70	71,00	66,41	T	2,87	NA	48,86	5,69	8,56	0,00
260	133697,69	68,49	70,68	66,30	T	2,87	NA	48,85	5,69	8,56	0,00
261	134016,78	68,65	70,83	66,46	T	2,89	NA	48,86	5,69	8,58	0,00
262	134335,86	68,75	70,90	66,59	T	2,89	NA	48,85	5,69	8,58	0,00
263	134654,95	68,52	70,88	66,17	T	2,93	NA	48,86	5,67	8,60	0,00
264	134974,05	68,44	70,65	66,24	T	2,93	NA	48,85	5,67	8,60	0,00
265	135293,13	68,62	71,10	66,14	T	2,93	NA	48,86	5,67	8,60	0,00
266	135612,22	68,51	70,70	66,32	T	2,95	NA	48,85	5,67	8,62	0,00
267	135931,30	68,54	70,86	66,22	T	2,95	NA	48,87	5,67	8,61	0,00
268	136250,39	68,49	70,80	66,17	T	2,95	NA	48,84	5,67	8,62	0,00
269	136569,48	68,67	70,93	66,40	T	2,97	NA	48,86	5,67	8,64	0,00
270	136888,56	68,81	71,13	66,50	T	2,97	NA	48,84	5,67	8,64	0,00
271	137207,66	68,60	70,93	66,27	T	2,97	NA	48,87	5,67	8,63	0,00
272	137526,75	68,73	71,13	66,33	T	2,99	NA	48,84	5,67	8,66	0,00
273	137845,83	68,59	70,92	66,25	T	2,99	NA	48,86	5,67	8,66	0,00
274	138164,92	68,81	71,36	66,26	T	3,01	NA	48,87	5,67	8,68	0,00
275	138484,02	68,85	71,21	66,50	T	3,01	NA	48,85	5,67	8,68	0,00
276	138803,09	68,74	71,17	66,31	T	3,01	NA	48,85	5,67	8,68	0,00
277	139122,19	68,68	70,98	66,38	T	3,03	NA	48,86	5,67	8,70	0,00
278	139441,27	68,74	71,26	66,21	T	3,03	NA	48,85	5,67	8,70	0,00
279	139760,36	68,60	71,09	66,11	T	3,05	NA	48,84	5,65	8,70	0,00
280	140079,45	68,59	71,01	66,17	T	3,07	NA	48,87	5,65	8,72	0,00
281	140398,53	68,72	71,09	66,34	T	3,07	NA	48,85	5,65	8,72	0,00
282	140717,63	68,59	71,02	66,16	T	3,07	NA	48,84	5,65	8,72	0,00
283	141036,72	68,67	71,16	66,17	T	3,09	NA	48,84	5,65	8,74	0,00
284	141355,80	68,75	71,27	66,23	T	3,09	NA	48,84	5,65	8,74	0,00
285	141674,89	68,74	71,43	66,05	T	3,09	NA	48,86	5,65	8,74	0,00
286	141993,97	68,73	71,33	66,12	T	3,11	NA	48,85	5,65	8,76	0,00
287	142313,06	68,74	71,47	66,01	T	3,11	NA	48,85	5,65	8,76	0,00
288	142632,16	68,60	71,12	66,08	T	3,11	NA	48,84	5,65	8,76	0,00
289	142951,23	68,58	70,92	66,25	T	3,13	NA	48,84	5,65	8,78	0,00
290	143270,33	68,52	70,86	66,18	T	3,13	NA	48,85	5,65	8,78	0,00
291	143589,42	68,48	70,93	66,04	T	3,13	NA	48,85	5,65	8,78	0,00
292	143908,50	68,54	70,79	66,29	T	3,15	NA	48,85	5,65	8,80	0,00
293	144227,59	68,75	71,16	66,34	T	3,15	NA	48,85	5,65	8,80	0,00
294	144546,69	68,52	70,77	66,27	T	3,15	NA	48,84	5,65	8,80	0,00
295	144865,77	68,48	70,68	66,29	T	3,19	NA	48,83	5,63	8,83	0,00
296	145184,86	68,63	70,84	66,42	T	3,19	NA	48,85	5,63	8,82	0,00
297	145503,94	68,51	70,74	66,28	T	3,19	NA	48,84	5,63	8,83	0,00
298	145823,03	68,49	70,76	66,22	T	3,21	NA	48,86	5,63	8,84	0,00
299	146142,13	68,56	70,74	66,38	T	3,22	NA	48,83	5,63	8,85	0,00
300	146461,20	68,59	70,88	66,29	T	3,21	NA	48,83	5,63	8,85	0,00
301	146780,30	68,43	70,61	66,24	T	3,23	NA	48,84	5,63	8,87	0,00
302	147099,39	68,36	70,33	66,38	T	3,23	NA	48,85	5,63	8,86	0,00
303	147418,47	68,29	70,20	66,38	T	3,23	NA	48,85	5,63	8,86	0,00
304	147737,56	68,30	70,10	66,50	T	3,23	NA	48,85	5,63	8,86	0,00
305	148056,64	68,26	70,05	66,46	T	3,26	NA	48,83	5,63	8,89	0,00
306	148375,73	68,14	69,82	66,47	T	3,25	NA	48,85	5,63	8,88	0,00
307	148694,83	68,09	69,99	66,20	T	3,26	NA	48,84	5,63	8,89	0,00
308	149013,91	68,14	70,07	66,22	T	3,28	NA	48,85	5,63	8,90	0,00
309	149333,00	68,31	70,14	66,47	T	3,28	NA	48,85	5,63	8,91	0,00
310	149652,09	68,23	70,28	66,18	T	3,28	NA	48,84	5,63	8,91	0,00
311	149971,17	68,13	69,93	66,32	T	3,28	NA	48,85	5,63	8,91	0,00
312	150290,27	68,17	69,83	66,50	T	3,32	NA	48,84	5,61	8,93	0,00
313	150609,36	67,94	69,62	66,27	T	3,32	NA	48,85	5,61	8,93	0,00
314	150928,44	67,82	69,51	66,13	T	3,32	NA	48,85	5,61	8,93	0,00
